input_text,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
Support 👇  #FarmersProtest,0.00048,0.0,4e-05,7e-05,0.0001,2e-05,2e-05
Supporting farmers means supporting our country #StopHateAgainstFarmers #FarmersProtest https://t.co/iWPatTK6NV,0.00084,0.0,4e-05,0.00013,0.00019,3e-05,1e-05
Support farmers if you are related to food #StopHateAgainstFarmers #FarmersProtest https://t.co/TcoZx4ZmyU,0.00077,0.0,4e-05,0.00013,0.00017,3e-05,2e-05
#StopHateAgainstFarmers support #FarmersProtest by pressurising got. to accept farmer's genuine demand.,0.0008,0.0,4e-05,0.00012,0.00019,3e-05,1e-05
"You hate farmers I hate you,  if you love them I love you! ;)   #StopHateAgainstFarmers  #FarmersProtest",0.63937,0.00022,0.02218,0.02685,0.11524,0.00733,0.00117
They can't be farmers. Looks like Gundas are having good time. They seem to be violence thirsty goons. #FarmersProtest twitter.com/IndiaToday/sta…,0.20596,2e-05,0.00289,0.00397,0.15853,0.00022,0.00029
Lets not forget that our Farmers are STILL out there protesting.  Please pray for them.   #FarmersProtest https://t.co/BP95cPmftD,0.001,0.0,5e-05,9e-05,0.00021,3e-05,2e-05
@Troll48611422 @Doabapunjab1 @Terminator00096 @HarjasK1 @_theshivatribe_ @Arshdee00485709 @tamankaur_ @sukhisukhii @WalterW28442171 @amaanbali thats your best comeback ?😂 lol so the only word you could understand was “yo” oh my my nd who the eef r u to tell me which language i should be talk in?  u lil piece of 💩   #FarmersProtest #StopHateAgainstFarmers https://t.co/3U0Cg5XYKq,0.2491,0.00022,0.13847,0.00176,0.03486,0.00037,0.00346
"Neutrality helps the oppressor, never the victim.   Silence encourages the tormentor, never the tormented  Speak up for FARMERS  #FarmersProtest   03:28:09",0.00055,0.0,4e-05,0.0001,0.00011,2e-05,2e-05
Why You Should Visit the F.A.R.M.E.R. at Tikri Border at Least Once   #StopHateAgainstFarmers  #FarmersProtest   thewire.in/rights/tikri-b… via @thewire_in,0.05237,5e-05,0.0096,0.00248,0.00676,0.00041,0.00075
